metric,group,time_bin_start_day,n_wells,center,error,metric_label
unit_amplitude_median_ratio,10uM,-6,12,0.906655844155844,0.021399451859338926,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,20uM,-6,9,0.9070707070707071,0.031117013738887603,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,CT,-6,12,0.9653679653679653,0.011416221727162765,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-E,-6,12,0.980876330876331,0.02463786764382368,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-L,-6,12,0.9522727272727272,0.018961419699346775,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,NPH,-6,12,0.9710526315789475,0.02434830086247531,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,10uM,-3,4,0.9426406926406927,0.021672061033009515,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,20uM,-3,3,0.9393939393939394,0.030303030303030314,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,CT,-3,4,0.9653679653679653,0.021860400299485026,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-E,-3,4,0.9975429975429976,0.035135994216400734,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-L,-3,4,0.9772727272727273,0.022727272727272735,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,NPH,-3,4,0.963157894736842,0.05578285296696365,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,10uM,0,16,1.019047619047619,0.024948364058072343,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,20uM,0,12,1.0,0.022380271087151397,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,CT,0,16,1.012202380952381,0.01681843804416481,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-E,0,16,1.0214987714987716,0.014713834655049782,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-L,0,16,1.0,0.011736313170325502,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,NPH,0,16,1.006578947368421,0.00657894736842105,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,10uM,3,12,0.9729437229437229,0.018990626158590918,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,20uM,3,9,1.0606060606060608,0.0338798178409059,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,CT,3,12,0.9494949494949494,0.020488126034116285,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-E,3,12,1.0429975429975429,0.02784295094835847,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-L,3,12,1.0257575757575756,0.027084597535464106,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,NPH,3,12,1.013157894736842,0.006871486419303855,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,10uM,6,12,0.9577922077922075,0.016286154482032203,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,20uM,6,9,0.9575757575757575,0.03192622349349314,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,CT,6,12,0.9805194805194805,0.014313116957039223,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-E,6,12,1.1433251433251432,0.10945406463945506,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-L,6,12,0.9575757575757576,0.039186783149685836,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,NPH,6,12,0.9789473684210526,0.022216625389940476,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,10uM,9,16,0.9482954545454545,0.022973583469374906,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,20uM,9,12,0.9719696969696967,0.026182486153605387,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,CT,9,16,0.9585768398268397,0.01815395544043965,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-E,9,15,1.1465356265356268,0.14988147843536612,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,IVH-L,9,15,0.9309090909090908,0.03180024231441344,unit_amplitude_median (ratio to baseline)
unit_amplitude_median_ratio,NPH,9,16,0.988157894736842,0.019239343922562352,unit_amplitude_median (ratio to baseline)
template_half_width_ratio,10uM,-6,12,0.960350616509615,0.0057737705002695846,template_half_width (ratio to baseline)
template_half_width_ratio,20uM,-6,9,0.9740204457851517,0.0056152567006675,template_half_width (ratio to baseline)
template_half_width_ratio,CT,-6,12,0.961636221440143,0.006192434207534436,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-E,-6,12,0.954234360410831,0.012119270125361278,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-L,-6,12,0.9854716981132077,0.007224710722146647,template_half_width (ratio to baseline)
template_half_width_ratio,NPH,-6,12,0.9851607309590502,0.006888922349471097,template_half_width (ratio to baseline)
template_half_width_ratio,10uM,-3,4,0.9831959440287921,0.013879156466799148,template_half_width (ratio to baseline)
template_half_width_ratio,20uM,-3,3,1.007048768225239,0.023504262212217887,template_half_width (ratio to baseline)
template_half_width_ratio,CT,-3,4,0.9809368191721133,0.0075666906260619966,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-E,-3,4,0.9863695478191277,0.014395359423860667,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-L,-3,4,0.9805304291527932,0.021229517681285028,template_half_width (ratio to baseline)
template_half_width_ratio,NPH,-3,4,1.0202080832332932,0.016503469777598395,template_half_width (ratio to baseline)
template_half_width_ratio,10uM,0,16,1.0037600055254394,0.005667939700065339,template_half_width (ratio to baseline)
template_half_width_ratio,20uM,0,12,1.0178808446455505,0.007391249365778994,template_half_width (ratio to baseline)
template_half_width_ratio,CT,0,16,1.0095315904139435,0.004264976002189432,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-E,0,16,1.011109693877551,0.00601594146246971,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-L,0,16,1.0175729513503515,0.0068851355902079464,template_half_width (ratio to baseline)
template_half_width_ratio,NPH,0,16,1.0101040416166467,0.006864766989052159,template_half_width (ratio to baseline)
template_half_width_ratio,10uM,3,12,1.0349540044502188,0.007455022065018003,template_half_width (ratio to baseline)
template_half_width_ratio,20uM,3,9,1.0326026478967654,0.008546603039174969,template_half_width (ratio to baseline)
template_half_width_ratio,CT,3,12,1.0035123736104128,0.011374624825970667,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-E,3,12,1.0014102307589703,0.018966622300513443,template_half_width (ratio to baseline)
template_half_width_ratio,IVH-L,3,12,0.9894504562831422,0.012855224372906555,template_half_width (ratio to baseline)
